Year Week;revenue;orders;avg_review;avg_delivery;avg_freight_ratio;unique_customers;unique_sellers;aov;revenue_high;revenue_low;revenue_mid;revenue_new_sellers;revenue_returning_sellers;revenue_6w;orders_6w;aov_6w;avg_review_6w;avg_delivery_6w;avg_freight_ratio_6w;unique_customers_6w;unique_sellers_6w;revenue_high_6w;revenue_low_6w;revenue_mid_6w;revenue_new_sellers_6w;revenue_returning_sellers_6w;Sort Week
2018-07;17234,079999999998;135;4,141379310344828;16,373367816091953;0,26782023514451775;129;59;127,65985185185184;12560,77;1322,78;3350,53;441,21000000000004;16792,87;20394,143333333333;137,33333333333334;149,4130919051083;3,9289540482161853;14,91707193680815;0,26410446239837065;135,16666666666666;62,166666666666664;14735,730000000001;1534,915;4123,498333333334;1362,0166666666667;19032,126666666667;201807
2018-08;15285,65;147;3,418181818181818;17,429559697121817;0,2852350167329851;146;56;103,98401360544217;7882,1;1877,8;5525,75;401,0;14884,65;18882,648333333334;138,33333333333334;137,9557939362754;3,8381955313707117;15,614938355902451;0,2612546320567333;136,0;61,166666666666664;13105,305;1635,8666666666668;4141,4766666666665;1130,5683333333334;17752,08;201808
2018-09;20977,93;168;3,6065573770491803;17,66280105173108;0,2669144683283845;166;74;124,86863095238095;14604,15;2094,64;4279,14;2574,67;18403,26;19256,876666666667;143,0;136,46656576167223;3,7979091172007475;16,220302986448374;0,264365777070123;140,33333333333334;61,833333333333336;13361,515;1747,1916666666666;4148,17;1256,1466666666668;18000,73;201809
2018-10;24871,3;173;3,6033519553072626;17,645090557590557;0,2553526320560136;171;69;143,76473988439307;18669,33;1763,24;4438,7300000000005;988,78;23882,52;19868,138333333332;152,0;130,73025490206825;3,772513577945342;16,89752704508142;0,2619993488518382;149,0;62,333333333333336;13678,331666666667;1774,47;4415,336666666667;1040,9233333333334;18827,215;201810
2018-11;18439,68;147;3,824561403508772;15,271911929993577;0,2963085439706994;145;77;125,44;12484,23;2120,64;3834,81;2367,47;16072,21;19779,173333333332;151,33333333333334;130,69490170118524;3,7563552072123074;16,724448698253333;0,2664951666662316;148,5;64,16666666666667;13601,791666666666;1784,6433333333334;4392,738333333334;1228,805;18550,368333333332;201811
2018-12;15470,8;131;3,696774193548387;13,56778367539514;0,308989199132236;131;68;118,09770992366411;9378,05;1768,78;4323,97;2075,46;13395,34;18713,24;150,16666666666666;123,96915770295537;3,715134342990041;16,325085787987355;0,2801033492274727;148,0;67,16666666666667;12596,438333333334;1824,6466666666665;4292,155;1474,765;17238,475000000002;201812
2018-13;15476,130000000001;129;4,02027027027027;12,739954713522247;0,2793852093615221;128;74;119,97000000000001;9488,74;2030,24;3957,15;2887,15;12588,98;18420,248333333333;149,16666666666666;122,68751572764673;3,694949502977615;15,719516937559069;0,2820308449303068;147,83333333333334;69,66666666666667;12084,433333333332;1942,5566666666666;4393,258333333334;1882,4216666666669;16537,826666666668;201813
2018-14;17424,84;135;4,215189873417722;11,619219848804502;0,2642881732537274;133;68;129,07288888888888;11908,66;1954,82;3561,36;3270,92;14153,92;18776,78;147,16666666666666;126,8689949415545;3,8277841788502656;14,751126962839516;0,2785397043504305;145,66666666666666;71,66666666666667;12755,526666666667;1955,3933333333332;4065,8600000000006;2360,7416666666663;16416,038333333334;201814
2018-15;17034,22;129;4,26241134751773;10,579085486272986;0,2687788968679198;128;62;132,04821705426357;11839,39;1714,27;3480,56;2789,12;14245,1;18119,495;140,66666666666666;128,06559262520162;3,937093173928357;13,570507701929834;0,27885044244035306;139,33333333333334;69,66666666666667;12294,733333333335;1891,9983333333332;3932,763333333334;2396,483333333333;15723,011666666667;201815
2018-16;12218,83;108;4,412280701754386;9,683728577810268;0,28116345294718825;108;70;113,13731481481481;8201,84;1203,71;2813,28;2510,88;9707,95;16010,75;129,83333333333334;122,96102178027189;4,071914631669545;12,243614038633119;0,2831522459222155;128,83333333333334;69,83333333333333;10550,151666666667;1798,7433333333336;3661,8549999999996;2650,1666666666665;13360,583333333334;201816
2018-17;15517,960000000001;113;4,062015503875969;11,445049705713465;0,23928997973371507;111;67;137,3270796460177;10448,1;922,57;4147,29;3651,35;11866,61;15523,796666666667;124,16666666666667;124,94220172127486;4,111490315064078;11,605803667919767;0,2736491518827181;123,16666666666667;68,16666666666667;10210,796666666667;1599,0649999999998;3713,935;2864,146666666666;12659,650000000001;201817
2018-18;16961,52;114;4,492307692307692;8,885469462250711;0,22238344699108945;114;68;148,78526315789475;11916,6;1619,55;3425,3700000000003;2556,84;14404,68;15772,250000000002;121,33333333333333;130,05679392697996;4,244079231523962;10,82541796572903;0,2592148598591937;120,33333333333333;68,16666666666667;10633,888333333332;1574,1933333333334;3564,1683333333335;2944,376666666667;12827,873333333335;201818
2018-19;16879,56;130;4,2534246575342465;9,631434788812784;0,3356169789893038;130;72;129,84276923076925;11981,95;1861,81;3035,8;4351,99;12527,57;16006,155;121,5;131,70225546544148;4,282938296067957;10,307331311610787;0,268586821463824;120,66666666666667;67,83333333333333;11049,423333333332;1546,1216666666667;3410,61;3188,5166666666664;12817,638333333334;201819
2018-20;14660,52;126;4,151515151515151;11,197337612233444;0,2809881137254893;126;74;116,35333333333334;9622,84;1883,32;3154,36;4508,82;10151,7;15545,435;120,0;129,58232953951557;4,272325842417529;10,237017605515609;0,2713701448757843;119,5;68,83333333333333;10668,453333333333;1534,205;3342,776666666667;3394,8333333333335;12150,601666666667;201820
2018-21;6386,95;51;4,428571428571429;10,179532283399471;0,24043754684109836;50;40;125,2343137254902;3600,57;655,38;2131,0;1945,9;4441,05;13770,890000000001;107,0;128,44667898472002;4,300019189259813;10,17042540503669;0,26664658653798073;106,5;65,16666666666667;9295,316666666668;1357,7233333333334;3117,8500000000004;3254,296666666667;10516,593333333334;201821
2018-22;10182,85;74;4,2317073170731705;9,764032797858098;0,2355737326019405;74;48;137,60608108108107;7443,45;878,47;1860,93;2001,95;8180,900000000001;13431,560000000003;101,33333333333333;132,5248066957644;4,269923625146276;10,183809441711327;0,25904829981377275;100,83333333333333;61,5;9168,918333333333;1303,5166666666667;2959,125;3169,475;10262,085;201822
2018-23;7032,65;71;4,2727272727272725;10,582445286195286;0,3099887636744792;71;50;99,05140845070422;3455,27;875,54;2701,84;1168,25;5864,4;12017,341666666667;94,33333333333333;126,14552816321213;4,3050422532881605;10,0400420384583;0,2708314304705668;94,16666666666667;58,666666666666664;8003,446666666667;1295,6783333333333;2718,2166666666667;2755,625;9261,716666666665;201823
2018-24;12013,35;96;4,425925925925926;8,63265715256541;0,34399803297180487;96;62;125,13906250000001;8270,23;1375,58;2367,54;3419,21;8594,14;11192,646666666667;91,33333333333333;122,20449472022968;4,293978625557866;9,997906653510748;0,2911005281340194;91,16666666666667;57,666666666666664;7395,718333333334;1255,0166666666667;2541,911666666667;2899,353333333333;8293,293333333333;201824
2018-25;11440,19;93;4,398058252427185;8,761724320699203;0,33274752475854885;93;65;123,01279569892473;6662,48;1159,81;3617,9;2659,38;8780,81;10286,085000000001;85,16666666666667;121,0661657982556;4,318084224706689;9,852954908825152;0,2906222857622269;85,0;56,5;6509,139999999999;1138,0166666666667;2638,9283333333333;2617,2516666666666;7668,833333333333;201825
2018-26;12408,37;90;4,666666666666667;7,05928077066966;0,29449483032896717;90;53;137,8707777777778;8774,53;1228,8899999999999;2404,9500000000003;1206,05;11202,32;9910,726666666667;79,16666666666667;124,65240653899633;4,403942810565275;9,163278768564522;0,29287340519613986;79,0;53,0;6367,755;1028,945;2514,0266666666666;2066,79;7843,936666666666;201826
